ds,yhat,yhat_lower,yhat_upper
2007-12-10,8.84306732790134,8.232181002282855,9.498106477558405
2007-12-11,8.591619271461639,7.947719836746184,9.199364520018488
2007-12-12,8.387450778972614,7.783561664171046,9.051846565541133
2007-12-13,8.365355469132405,7.730763191215434,8.965089784719458
2007-12-14,8.353341644153577,7.7654536450088845,8.980846063688055
2007-12-15,8.098647101043333,7.43506656455338,8.689118873279845
2007-12-16,8.448550611570575,7.789807779672463,9.033924572505482
2007-12-17,8.74512626512845,8.149667500163895,9.345029173551659
2007-12-18,8.507946473450703,7.9139631498064515,9.116592172511039
2007-12-19,8.320106151461504,7.67318179412358,8.903094084282467
2007-12-20,8.316006976846074,7.691684781520818,8.9157662012718
2007-12-21,8.323240505642191,7.703210997552555,8.911436983336646
2007-12-22,8.088615609592956,7.472137149937502,8.693919759161462
2007-12-23,8.458982531393461,7.826813692064439,9.057487373034915
2007-12-24,8.775999359087672,8.147511114280201,9.407261344457622
2007-12-25,8.558846345077672,7.962304617292033,9.186653472794445
2007-12-26,8.390260241560672,7.811145220340822,9.038486275464996
2007-12-27,8.404327254005569,7.759330025599543,9.002174705242783
2007-12-28,8.428373139748608,7.819765239813981,9.06353736962038
2007-12-29,8.208995725436592,7.591536716370151,8.866707321229223
2007-12-30,8.59289201147486,7.984625869167813,9.193455784433377
2007-12-31,8.921625604366042,8.301857227971647,9.486210457543924
2008-01-01,8.714339911306475,8.078131706099684,9.284362919871121
2008-01-02,8.55378934632214,7.8579591515243825,9.153431463446427
2008-01-03,8.57412729285817,7.923608004402443,9.19246628240206
2008-01-04,8.602789554173595,7.958301623577863,9.196213845850801
2008-01-05,8.386518823730482,7.760678238145438,8.959234699065057
2008-01-06,8.772182647907968,8.146266381964693,9.40667097972875
2008-01-07,9.10153096190001,8.512031022342967,9.66720568888996
2008-01-08,8.893898997831942,8.249461540630179,9.533787983768581
2008-01-09,8.732228191885868,8.08703409850856,9.329943442234617
2008-01-10,8.75084421342305,8.120894911360553,9.363663226287187
2008-01-11,8.777331213662872,8.157278929866242,9.395985234026396
2008-01-12,8.558548168544396,7.944672975916351,9.155834583055269
2008-01-13,8.941440095345632,8.287709123404566,9.562268386906474
2008-01-14,9.267790485832652,8.633490323929573,9.875345138220442
2008-01-15,9.05692096256971,8.439909936022369,9.634875430761193
2008-01-16,8.891710931473366,8.31243668368046,9.513187200079086
2008-01-17,8.906376433034106,8.267937231770508,9.559998021745615
2008-01-18,8.928347299395138,8.320825630137612,9.548763540538534
2008-01-19,8.704288430523516,8.075328316839666,9.335775808163426
2008-01-20,9.080917837955255,8.45913020888539,9.64314789159965
2008-01-21,9.399767601436166,8.749690012089657,10.010742496802049
