ds,yhat,yhat_lower,yhat_upper
2007-12-10,8.84306732790134,8.25174393064804,9.455008383947524
2007-12-11,8.591619271461639,7.92665145943215,9.183255651169974
2007-12-12,8.387450778972614,7.788479551702336,8.98483756488472
2007-12-13,8.365355469132405,7.756622835975692,8.991984605388152
2007-12-14,8.353341644153577,7.72826661756311,8.96245538302611
2007-12-15,8.098647101043333,7.466131614799149,8.702864817617925
2007-12-16,8.448550611570575,7.836819861833174,9.095436358722711
2007-12-17,8.74512626512845,8.144296620840679,9.344147463077631
2007-12-18,8.507946473450703,7.877574451661159,9.131518224739883
2007-12-19,8.320106151461504,7.72975440206247,8.938660414205271
2007-12-20,8.316006976846074,7.664663672890222,8.915542917637113
2007-12-21,8.323240505642191,7.683337063078324,8.904085162265858
2007-12-22,8.088615609592956,7.4488431021298895,8.67267147747954
2007-12-23,8.458982531393461,7.82724209719298,9.0793255982782
2007-12-24,8.775999359087672,8.105678548355966,9.37118903249349
2007-12-25,8.558846345077672,8.0080559009788,9.211028040648864
2007-12-26,8.390260241560672,7.770808394374494,8.957755901153915
2007-12-27,8.404327254005569,7.787839490715691,9.035864830616614
2007-12-28,8.428373139748608,7.821692387132292,9.096226597653825
2007-12-29,8.208995725436592,7.615936494915,8.844145082774014
2007-12-30,8.59289201147486,7.9435126497636945,9.15685711801148
2007-12-31,8.921625604366042,8.292410070127472,9.52922768945274
2008-01-01,8.714339911306475,8.10570653147589,9.33328614092977
2008-01-02,8.55378934632214,7.943378332257601,9.133769542500287
2008-01-03,8.57412729285817,8.005609261888312,9.209917243124874
2008-01-04,8.602789554173595,8.021050125852794,9.224048478430046
2008-01-05,8.386518823730482,7.7650944376493385,8.984347326308544
2008-01-06,8.772182647907968,8.169363226830237,9.428885327973749
2008-01-07,9.10153096190001,8.52881657854593,9.687550080339324
2008-01-08,8.893898997831942,8.273510149949136,9.507505862777238
2008-01-09,8.732228191885868,8.103112576134313,9.330540861451816
2008-01-10,8.75084421342305,8.103293328799383,9.364197448345884
2008-01-11,8.777331213662872,8.152315466514839,9.391223627019286
2008-01-12,8.558548168544396,7.945184319133004,9.165869917553211
2008-01-13,8.941440095345632,8.319530219112133,9.606912437345292
2008-01-14,9.267790485832652,8.671453369022135,9.869307040656892
2008-01-15,9.05692096256971,8.398988340765797,9.668845797625739
2008-01-16,8.891710931473366,8.265069863714574,9.537734576269816
2008-01-17,8.906376433034106,8.279001201626892,9.497115194246351
2008-01-18,8.928347299395138,8.297401561028686,9.53053218609413
2008-01-19,8.704288430523516,8.10754259852149,9.29578643336234
2008-01-20,9.080917837955255,8.472813133305497,9.706499925914153
2008-01-21,9.399767601436166,8.747136862830308,10.016648853581074
2008-01-22,9.179893486897182,8.561586014343394,9.810686515960116
2008-01-23,9.003905687316578,8.373428859804486,9.614063789524089
2008-01-24,9.005759533367986,8.367768227038152,9.618933124382218
2008-01-25,9.012644892201026,8.356230168345842,9.611926971050815
2008-01-26,8.771019657310351,8.0905308760686,9.39343272117234
2008-01-27,9.127439558991014,8.509426046324705,9.73378285826537
2008-01-28,9.423330026092584,8.786532797900085,10.039033610057585
2008-01-29,9.177705450450325,8.579241891741466,9.796370614448595
2008-01-30,8.973207948764498,8.33704570337437,9.59286982783198
2008-02-01,8.917178416096483,8.277463517573732,9.521919386605473
2008-02-02,8.639767808010578,8.047572059603628,9.213721492000479
2008-02-03,8.958590691736712,8.308375467750816,9.542700409401691
2008-02-04,9.215514848519433,8.559885611675226,9.806053331932132
2008-02-05,8.930070339158116,8.35565135365983,9.523064270527884
2008-02-06,8.68547935291036,8.08854606436889,9.320122032991124
2008-02-07,8.616441733049417,7.995522674011728,9.183159315004927
2008-02-08,8.551014876376492,7.936081750233732,9.171458676317378
2008-02-09,8.2366335201364,7.626036330315913,8.88744008226715
2008-02-10,8.520921887248209,7.90860041376309,9.15737135346628
2008-02-11,8.746444288440637,8.12205261332149,9.350034139707255
2008-02-12,8.43340001851565,7.82530839652159,9.071774785687278
2008-02-13,8.165635233414388,7.532324649830092,8.80156106340041
2008-02-14,8.078411013006837,7.417565040672602,8.65187486511786
2008-02-15,8.00026681145764,7.400437502109365,8.607214325778504
2008-02-16,7.679025295782809,7.095232173157304,8.320956450549982
2008-02-17,7.96259149895101,7.3119202308228495,8.601738197154503
2008-02-18,8.193692796155458,7.5675991215500735,8.786775871200305
2008-02-19,7.892565893680442,7.286990697126853,8.491124341323944
2008-02-20,7.642963800318425,7.020753737840271,8.241548724306565
2008-02-21,7.579922191556032,6.914299389696295,8.20238708167575
2008-02-22,7.531624488615934,6.928289071677469,8.147477109140992
